player_id,player_name,standardized_name,all_teams,total_appearances,team1,team1_appearances,is_in_team1,team2,team2_appearances,is_in_team2,team3,team3_appearances,is_in_team3,is_retired
4608,Luke Shaw,Luke Shaw,Manchester United,232,Manchester United,232,yes,,0,no,,0,no,no
958,Matt Oakley,Matt Oakley,Southampton,232,Southampton,232,no,,0,no,,0,no,yes
2012,Olof Mellberg,Olof Mellberg,Aston Villa,232,Aston Villa,232,no,,0,no,,0,no,yes
262,Jamie Redknapp,Jamie Redknapp,Liverpool,231,Liverpool,231,no,,0,no,,0,no,yes
51423,John McGinn,John McGinn,Aston Villa,230,Aston Villa,230,yes,,0,no,,0,no,no
2100,James Milner,James Milner,Liverpool,230,Liverpool,230,no,,0,no,,0,no,no
3654,Pablo Zabaleta,Pablo Zabaleta,Manchester City,230,Manchester City,230,no,,0,no,,0,no,yes
4148,Yaya Touré,Yaya Touré,Manchester City,230,Manchester City,230,no,,0,no,,0,no,yes
1597,Nolberto Solano,Nolberto Solano,Newcastle United,230,Newcastle United,230,no,,0,no,,0,no,yes
13274,Ezri Konsa,Ezri Konsa,Aston Villa,229,Aston Villa,229,yes,,0,no,,0,no,no
35,Ugo Ehiogu,Ugo Ehiogu,Aston Villa,229,Aston Villa,229,no,,0,no,,0,no,no
1151,Gianfranco Zola,Gianfranco Zola,Chelsea,229,Chelsea,229,no,,0,no,,0,no,yes
8868,Jarrod Bowen,Jarrod Bowen,West Ham United,228,West Ham United,228,yes,,0,no,,0,no,no
1494,Ashley Cole,Ashley Cole,Chelsea,228,Chelsea,228,no,,0,no,,0,no,yes
23396,Bruno Fernandes,Bruno Fernandes,Manchester United,226,Manchester United,226,yes,,0,no,,0,no,no
25183,Tomáš Souček,tomás soucek,West Ham United,226,West Ham United,226,yes,,0,no,,0,no,no
2047,Jonathan Walters,Jonathan Walters,Stoke City,226,Stoke City,226,no,,0,no,,0,no,yes
2705,Tim Cahill,Tim Cahill,Everton,226,Everton,226,no,,0,no,,0,no,yes
776,Stephen Carr,Stephen Carr,Tottenham Hotspur,226,Tottenham Hotspur,226,no,,0,no,,0,no,yes
4845,Christian Eriksen,Christian Eriksen,Tottenham Hotspur,226,Tottenham Hotspur,226,no,,0,no,,0,no,no
12136,Granit Xhaka,Granit Xhaka,Arsenal,225,Arsenal,225,no,,0,no,,0,no,no
2002,Kolo Touré,Kolo Touré,Arsenal,225,Arsenal,225,no,,0,no,,0,no,yes
4316,Raheem Sterling,Raheem Sterling,Manchester City,225,Manchester City,225,no,,0,no,,0,no,no
4333,Michael Keane,Michael Keane,Everton,225,Everton,225,no,,0,no,,0,no,no
3564,Marc Albrighton,Marc Albrighton,Leicester City,224,Leicester City,224,no,,0,no,,0,no,yes
49481,Bukayo Saka,Bukayo Saka,Arsenal,224,Arsenal,224,no,,0,no,,0,no,no
174,Dave Watson,Dave Watson,Everton,223,Everton,223,no,,0,no,,0,no,yes
1943,Darren Fletcher,Darren Fletcher,Manchester United,223,Manchester United,223,no,,0,no,,0,no,yes
670,Muzzy Izzet,Muzzy Izzet,Leicester City,222,Leicester City,222,no,,0,no,,0,no,yes
5101,İlkay Gündoğan,ilkay gündogan,Manchester City,221,Manchester City,221,no,,0,no,,0,no,no
14805,Phil Foden,Phil Foden,Manchester City,220,Manchester City,220,yes,,0,no,,0,no,no
2239,Joseph Yobo,Joseph Yobo,Everton,220,Everton,220,no,,0,no,,0,no,yes
20479,Wilfred Ndidi,Wilfred Ndidi,Leicester City,220,Leicester City,220,no,,0,no,,0,no,no
8980,Jeffrey Schlupp,Jeffrey Schlupp,Crystal Palace,220,Crystal Palace,220,no,,0,no,,0,no,no
12582,Idrissa Gueye,Idrissa Gueye,Everton,219,Everton,219,no,,0,no,,0,no,no
4286,Oriol Romeu,Oriol Romeu,Southampton,217,Southampton,217,no,,0,no,,0,no,no
8658,Ollie Watkins,Ollie Watkins,Aston Villa,217,Aston Villa,217,yes,,0,no,,0,no,no
3394,Brede Hangeland,Brede Hangeland,Fulham,217,Fulham,217,no,,0,no,,0,no,yes
3909,Ben Mee,Ben Mee,Burnley,217,Burnley,217,no,,0,no,,0,no,no
1497,Freddie Ljungberg,Freddie Ljungberg,Arsenal,216,Arsenal,216,no,,0,no,,0,no,yes
1208,Michael Owen,Michael Owen,Liverpool,216,Liverpool,216,no,,0,no,,0,no,yes
2058,Carlton Cole,Carlton Cole,West Ham United,216,West Ham United,216,no,,0,no,,0,no,yes
9662,Jacob Murphy,Jacob Murphy,Newcastle United,215,Newcastle United,215,yes,,0,no,,0,no,no
125,Peter Atherton,Peter Atherton,Sheffield Wednesday,214,Sheffield Wednesday,214,no,,0,no,,0,no,yes
252,David James,David James,Liverpool,214,Liverpool,214,no,,0,no,,0,no,yes
2886,Ryan Bertrand,Ryan Bertrand,Southampton,214,Southampton,214,no,,0,no,,0,no,yes
239,Gary Speed,Gary Speed,Newcastle United,213,Newcastle United,213,no,,0,no,,0,no,no
1045,Ian Harte,Ian Harte,Leeds United,213,Leeds United,213,no,,0,no,,0,no,yes
3311,Bacary Sagna,Bacary Sagna,Arsenal,213,Arsenal,213,no,,0,no,,0,no,yes
2417,Cesc Fàbregas,Cesc Fàbregas,Arsenal,212,Arsenal,212,no,,0,no,,0,no,yes
2935,Nemanja Vidic‎,nemanja vidic,Manchester United,211,Manchester United,211,no,,0,no,,0,no,yes
20607,Joelinton,Joelinton,Newcastle United,211,Newcastle United,211,yes,,0,no,,0,no,no
5220,Fabian Schär,Fabian Schär,Newcastle United,211,Newcastle United,211,yes,,0,no,,0,no,no
2122,Stewart Downing,Stewart Downing,Middlesbrough,211,Middlesbrough,211,no,,0,no,,0,no,yes
3680,Fabricio Coloccini,Fabricio Coloccini,Newcastle United,211,Newcastle United,211,no,,0,no,,0,no,yes
4245,Emiliano Martínez,Emiliano Martínez,Aston Villa,210,Aston Villa,210,yes,,0,no,,0,no,no
3062,Ashley Young,Ashley Young,Aston Villa,210,Aston Villa,210,no,,0,no,,0,no,no
74,Henning Berg,Henning Berg,Blackburn Rovers,209,Blackburn Rovers,209,no,,0,no,,0,no,yes
2932,Ben Foster,Ben Foster,West Bromwich Albion,209,West Bromwich Albion,209,no,,0,no,,0,no,yes
3135,Dirk Kuyt,dirk kuijt,Liverpool,208,Liverpool,208,no,,0,no,,0,no,yes
172,Neville Southall,Neville Southall,Everton,207,Everton,207,no,,0,no,,0,no,yes
495,Kevin Pressman,Kevin Pressman,Sheffield Wednesday,207,Sheffield Wednesday,207,no,,0,no,,0,no,yes
