player_id,player name,clubs,total_appearances,is_retired
19680,appearances,"Arsenal, Man City",242,False
2289,appearances,Leeds United,242,True
2991,appearances,Hull City,242,True
3404,appearances,Istanbul Basaksehir,242,True
2845,appearances,Istanbul Basaksehir,241,True
3807,appearances,Reading,241,True
1497,appearances,,241,True
4403,appearances,Bristol City,241,True
8245,appearances,Sheffield United,240,True
79,appearances,,240,True
1505,appearances,Bolton Wanderers,240,True
1909,appearances,,240,True
3982,appearances,,239,True
4286,appearances,Southampton,239,True
329,appearances,,238,True
3394,appearances,,238,True
96,appearances,Lincoln City,238,True
20486,appearances,Arsenal,238,False
8868,appearances,"West Ham, Hull",237,False
1045,appearances,Bournemouth,237,True
14716,appearances,"Newcastle, Leicester",236,False
755,appearances,,236,True
2522,appearances,Riyadh ST XI,236,True
2072,appearances,Portsmouth,236,True
8707,appearances,"Newcastle, Brighton",235,False
1253,appearances,Sheffield Wednesday,235,True
293,appearances,,235,True
4252,appearances,,235,True
1217,appearances,Manchester United,235,True
1558,appearances,Rangers,235,True
2980,appearances,Huddersfield Town,234,True
2024,appearances,,233,True
2047,appearances,Burnley,233,True
14164,appearances,"West Ham, Man Utd",233,False
11071,appearances,"Fulham, Wolves",232,False
51423,appearances,Aston Villa,232,False
2012,appearances,FC København,232,True
4666,appearances,RSC Anderlecht,232,True
128,appearances,,231,True
13274,appearances,Aston Villa,231,False
4487,appearances,,231,True
448,appearances,,231,True
1495,appearances,,231,True
4148,appearances,,230,True
