player_id,player_name,is_retired,current_team
1775,Simon Davies,yes,
1835,Robert Pirès,yes,
1866,Eidur Gudjohnsen,yes,
1869,Craig Bellamy,yes,
1881,Tony Hibbert,yes,
1887,Leon Osman,yes,
1890,Titus Bramble,yes,
1909,Mark Viduka,yes,
1934,Shaun Wright-Phillips,yes,
1943,Darren Fletcher,yes,
1962,Shola Ameobi,yes,
1982,Kieran Richardson,yes,
2002,Kolo Touré,yes,
2012,Olof Mellberg,yes,
2013,Liam Ridgewell,yes,
2018,Lucas Neill,yes,
2024,Tugay,yes,
2040,Kevin Nolan,yes,
2041,Ricardo Gardner,yes,
2047,Jonathan Walters,yes,
2053,Robert Huth,yes,
2054,William Gallas,yes,
2058,Carlton Cole,yes,
2064,Wayne Rooney,yes,
2070,Edwin van der Sar,yes,
2072,Steve Finnan,yes,
2075,Zat Knight,yes,
2078,Steed Malbranque,yes,
2098,Darren Bent,yes,
2100,James Milner,no,Brighton & Hove Albion
2110,John Arne Riise,yes,
2117,Ruud van Nistelrooij,yes,
2122,Stewart Downing,yes,
2125,Sylvain Distin,yes,
2127,Jermaine Jenas,yes,
2148,Glen Johnson,yes,
2239,Joseph Yobo,yes,
2270,Aaron Lennon,yes,
2274,Adam Johnson,yes,
2289,El Hadji Diouf,yes,
2299,Glenn Whelan,yes,
2303,Joey Barton,yes,
2323,Steven Taylor,yes,
2413,Gaël Clichy,yes,
2417,Cesc Fàbregas,yes,
2423,Steven Davis,yes,
2434,Brett Emerton,yes,
2508,Kasper Schmeichel,no,Celtic FC
2516,Tim Howard,yes,
2517,Phil Bardsley,yes,
2522,Cristiano Ronaldo,no,Al-Nassr FC
2529,James Morrison,yes,
2537,Asmir Begovic,no,Leicester City
2542,Matthew Taylor,yes,
2553,Yakubu,yes,
2574,Joleon Lescott,yes,
2603,Bobby Zamora,yes,
2613,Sebastian Larsson,yes,
2616,Robin van Persie,yes,
2620,Gary Cahill,yes,
2622,Gabriel Agbonlahor,yes,
2636,Morten Pedersen,yes,
2651,Petr Cech,yes,
2653,Ricardo Carvalho,yes,
2654,Paulo Ferreira,yes,
2662,Didier Drogba,yes,
2681,Wayne Routledge,yes,
2704,Mikel Arteta,yes,
2705,Tim Cahill,yes,
2755,Charles N'Zogbia,yes,
2758,Robert Green,yes,
2805,Michael Dawson,yes,
2818,Tomasz Kuszczak,yes,
2839,Theo Walcott,yes,
2845,Emmanuel Adebayor,yes,
2847,Craig Gardner,yes,
2886,Ryan Bertrand,yes,
2889,Jack Cork,no,Burnley FC U21
2911,Pepe Reina,yes,
2928,Stephen Ireland,yes,
2932,Ben Foster,yes,
2934,Patrice Evra,yes,
2935,Nemanja Vidic,yes,
2940,Park Ji-Sung,yes,
2949,Lee Cattermole,yes,
2980,Dean Whitehead,yes,
2991,Tom Huddlestone,yes,
3010,James Collins,yes,
3014,Mark Noble,yes,
3030,Leighton Baines,yes,
3062,Ashley Young,no,Ipswich Town
3063,Stiliyan Petrov,yes,
3102,John Obi Mikel,yes,
3121,Clint Dempsey,yes,
3135,Dirk Kuijt,yes,
3137,Lucas Leiva,yes,
3143,Joe Hart,yes,
3156,Jonny Evans,yes,
3158,Ryan Shawcross,yes,
3175,Andy Carroll,no,Dagenham & Redbridge
3206,Shane Long,yes,
3222,Phil Jagielka,yes,
3247,Dimitar Berbatov,yes,
3281,Carlos Tevez,yes,
3285,Antonio Valencia,yes,
3309,Lukasz Fabianski,no,West Ham United
3311,Bacary Sagna,yes,
3360,Branislav Ivanovic,yes,
3388,Steven Pienaar,yes,
3394,Brede Hangeland,yes,
3404,Martin Skrtel,no,TJ SPP Velke Bierovce-Opatovce
3420,Fernando Torres,yes,
3446,Anderson,yes,
3447,Nani,yes,
3448,Tom Cleverley,yes,
3452,Danny Welbeck,no,Brighton & Hove Albion
3512,Adam Smith,no,AFC Bournemouth
3513,Gareth Bale,yes,
3517,James Tomkins,yes,
3543,Wojciech Szczesny,no,FC Barcelona
3548,Aaron Ramsey,yes,
3564,Marc Albrighton,yes,
3600,Séamus Coleman,no,Everton FC
3604,Marouane Fellaini,yes,
3653,Vincent Kompany,yes,
3654,Pablo Zabaleta,yes,
3664,Rafael,yes,
3680,Fabricio Coloccini,yes,
3712,Jordan Henderson,no,Brentford FC
3724,Andros Townsend,no,Kanchanaburi Power FC
3734,Jonas Olsson,yes,
3744,Chris Brunt,yes,
3756,Chris Wood,no,Nottingham Forest
3807,Scott Dann,yes,
3811,Nathan Redmond,no,Blackburn Rovers
3851,Jay Rodriguez,no,Wrexham
3861,Nemanja Matic,no,Sassuolo
3909,Ben Mee,no,Sheffield United
3929,Joel Ward,no,Swansea City
3955,Kyle Walker,no,Burnley FC
3960,Harry Kane,no,Bayern Munich
3979,James McCarthy,yes,
3982,Mohamed Diamé,yes,
4030,Laurent Koscielny,yes,
4112,Eric Dier,no,AS Monaco
4115,Ross Barkley,no,Aston Villa
4123,Mousa Dembélé,yes,
4135,Jonjo Shelvey,yes,
4138,Luis Suárez,no,Inter Miami CF
4145,David Silva,yes,
4148,Yaya Touré,yes,
4179,Simon Mignolet,no,Club Brugge KV
4198,Craig Dawson,no,
4224,James McArthur,yes,
4245,Emiliano Martínez,no,Aston Villa
4252,Alex Oxlade-Chamberlain,no,Celtic FC
4260,Jack Grealish,no,Everton FC
4286,Oriol Romeu,no,Southampton FC
4287,Juan Mata,no,Melbourne Victory
4288,Kevin De Bruyne,no,SSC Napoli
4290,Romelu Lukaku,no,Napoli
4316,Raheem Sterling,no,Feyenoord Rotterdam
4328,Sergio Agüero,yes,
4330,David de Gea,no,ACF Fiorentina
4333,Michael Keane,no,Everton FC
4403,Ashley Williams,yes,
4408,Ben Davies,no,Tottenham Hotspur
4421,Gylfi Sigurdsson,no,Víkingur Reykjavík
4437,Gareth McAuley,yes,
4472,Nacho Monreal,yes,
4481,Olivier Giroud,no,Lille
4487,Matthew Lowton,no,Precision FC
4489,Ashley Westwood,no,Charlotte FC
4492,Christian Benteke,no,Al-Wahda FC
4496,César Azpilicueta,no,Sevilla FC
4499,Nathan Aké,no,Manchester City
4503,Eden Hazard,yes,
4505,John Stones,no,Manchester City
4539,Wilfried Zaha,no,Charlotte FC
4549,Moussa Sissoko,no,Panathinaikos
4604,Nathaniel Clyne,no,Crystal Palace
4608,Luke Shaw,no,Manchester United
4617,James Ward-Prowse,no,Burnley FC
4618,Adam Lallana,yes,
4640,Jordan Pickford,no,Everton FC
4664,Hugo Lloris,no,Los Angeles FC
4666,Jan Vertonghen,yes,
4717,Alex Iwobi,no,Fulham FC
4748,Willian,no,Grêmio Foot-Ball Porto Alegrense
4804,Fernandinho,yes,
4845,Christian Eriksen,no,VfL Wolfsburg
4911,Thibaut Courtois,no,Real Madrid
4979,Adama Traoré,no,West Ham United
4985,Bernd Leno,no,Fulham FC
4999,Son Heung-Min,no,Los Angeles FC
5051,João Cancelo,no,FC Barcelona
5067,Bernardo Silva,no,Manchester City
5101,Ilkay Gündogan,no,Galatasaray
5110,Pierre-Emerick Aubameyang,no,Marseille
5140,Virgil van Dijk,no,Liverpool FC
5175,Kurt Zouma,no,Al Wasl SC
5178,Mohamed Salah,no,Liverpool FC
5220,Fabian Schär,no,Newcastle United
5272,Pierre-Emile Højbjerg,no,Marseille
5514,Angelo Ogbonna,no,
5575,Benjamin Mendy,no,Pogoń Szczecin
5595,Jordan Ayew,no,Leicester City
5758,Lucas Digne,no,Aston Villa
5859,Luka Milivojevic,no,Al-Nasr SC (UAE)
5861,Cheikhou Kouyaté,no,
5865,Youri Tielemans,no,Aston Villa
6519,Sadio Mané,no,Al-Nassr FC
7975,David Raya,no,Arsenal FC
8143,James Tarkowski,no,Everton FC
8163,Lewis Dunk,no,Brighton & Hove Albion
8171,Solly March,no,Brighton & Hove Albion
8245,Danny Ings,no,Sheffield United
8246,Ashley Barnes,no,Burnley FC
8454,Callum Wilson,no,West Ham United
8658,Ollie Watkins,no,Aston Villa
8707,Dan Burn,no,Newcastle United
8868,Jarrod Bowen,no,West Ham United
8897,Aaron Cresswell,no,Stoke City
8979,Jamie Vardy,no,US Cremonese
8980,Jeffrey Schlupp,no,Norwich City
8983,Riyad Mahrez,no,Al-Ahli SFC
9167,Dele Alli,no,
9566,Harry Maguire,no,Manchester United
9576,Dominic Calvert-Lewin,no,Leeds United
9595,Michail Antonio,no,Al-Sailiya SC
9662,Jacob Murphy,no,Newcastle United
10079,Nick Pope,no,Newcastle United
10458,Andy Robertson,no,Liverpool FC
10766,Lewis Cook,no,AFC Bournemouth
11044,Aymeric Laporte,no,Athletic Bilbao
11071,Raúl Jiménez,no,Fulham FC
12136,Granit Xhaka,no,Sunderland AFC
12582,Idrissa Gueye,no,Everton FC
12707,Ederson,no,Fenerbahce
13274,Ezri Konsa,no,Aston Villa
13344,Matty Cash,no,Aston Villa
13492,N'Golo Kanté,no,Fenerbahce
13511,Roberto Firmino,no,Al-Sadd SC
13565,Marcus Rashford,no,FC Barcelona
13823,Abdoulaye Doucouré,no,NEOM SC
14164,Aaron Wan-Bissaka,no,West Ham United
14716,Harvey Barnes,no,Newcastle United
14732,Trent Alexander-Arnold,no,Real Madrid
14805,Phil Foden,no,Manchester City
15202,Declan Rice,no,Arsenal FC
16286,Rodri,no,Manchester City
16431,Rúben Dias,no,Manchester City
16723,Matz Sels,no,Nottingham Forest
19589,Jan Bednarek,no,FC Porto
19620,Oleksandr Zinchenko,no,Ajax
19680,Gabriel Jesus,no,Arsenal FC
20479,Wilfred Ndidi,no,Besiktas JK
20486,Leandro Trossard,no,Arsenal FC
20559,Alisson Becker,no,Liverpool FC
20607,Joelinton,no,Newcastle United
22542,Pascal Groß,no,Brighton & Hove Albion
23396,Bruno Fernandes,no,Manchester United
24334,Tyrick Mitchell,no,Crystal Palace
24626,Douglas Luiz,no,Aston Villa
24630,Richarlison,no,Tottenham Hotspur
24797,Dwight McNeil,no,Everton FC
25183,Tomás Soucek,no,West Ham United
49481,Bukayo Saka,no,Arsenal FC
50234,Gabriel Magalhães,no,Arsenal FC
51423,John McGinn,no,Aston Villa
54312,Miguel Almirón,no,Atlanta United FC
65970,Erling Haaland,no,Manchester City
66104,Gabriel Martinelli,no,Arsenal FC
